Departamento;Nome da Unidade (a);Endereço;CEP;Características do Imóvel;Telefone;Fax;Horário de Atendimento;Email
 GRUPO TÉCNICO INTERDICIPLINAR;Interdiciplinar;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3582;-;8:00 as 14:00;supercao@mppa.mp.br
GRUPO TÉCNICO INTERDICIPLINAR;Jurídico;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3672;-;8:00 as 14:00;supercao@mppa.mp.br
NÚCLEO DE COMBATE À IMPROBILIDADE E CORRUPÇÃO;Apoio;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3526 (91) 3210-3525 (91) 3210-3533;-;8:00 as 14:00;-
NÚCLEO DE COMBATE À IMPROBILIDADE E CORRUPÇÃO;Assessores;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3532 (91) 3210-3528;-;8:00 as 14:00;-
 NÚCLEO DE COMBATE À IMPROBILIDADE E CORRUPÇÃO;Coordenador;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3527;-;8:00 as 14:00;-
NÚCLEO DE COMBATE À IMPROBILIDADE E CORRUPÇÃO;Copa;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3531;-;8:00 as 14:00;-
NÚCLEO DE COMBATE À IMPROBILIDADE E CORRUPÇÃO;Sala de Multiuso;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3529;-;8:00 as 14:00;-
NÚCLEO DE COMBATE À IMPROBILIDADE E CORRUPÇÃO;Sala de Reunião;Av. 16 de Novembro, 418 - Cidade Velha;66.023-220;PRÓPRIO;(91) 3210-3530;-;8:00 as 14:00;-
 NÚCLEO DO TERCEIRO SETOR;Coordenadoria;Rua Ângelo Custódio, 85;-;PRÓPRIO;(91) 3182-2310;-;8:00 as 14:00;-
NÚCLEO ELEITORAL;Coordenadoria;Av. Manoel Barata, 1289 - ICOARACI;-;PRÓPRIO;(91) 3218-7700 (91) 98829-7272;-;8:00 as 14:00;-
ÓRGÃO E SERVIÇOS DE APOIO ADMINISTRATIVO - AUDITÓRIO;Cabine de som;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3529;-;8:00 as 14:00;-
OUVIDORIA;Assessoria / Apoio;Rua João Diogo, 80;66015-165;PRÓPRIO;(91) 4006-3654 (91) 4006-3656;(91) 4006-3656;8:00 as 14:00;ouvidoria@mppa.mp.br
 OUVIDORIA;Gabinete do Ouvidor;Rua João Diogo, 80;66015-165;PRÓPRIO;(91) 4006-3652;-;8:00 as 14:00;ouvidoria@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;1º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2600;-;8:00 as 14:00;santino@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;2º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2491;-;8:00 as 14:00;mendonca@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;3º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2515;-;8:00 as 14:00;barleta@mppa.mp.br
 PROCURADORES DE JUSTIÇA CÍVEL;4º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2463;-;8:00 as 14:00;falangola@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;5º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2493;-;8:00 as 14:00;mariac@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;6º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2507;-;8:00 as 14:00;mattos@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;7º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2558;-;8:00 as 14:00;medrado@mppa.mp.br
 PROCURADORES DE JUSTIÇA CÍVEL;8º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2527;-;8:00 as 14:00;rosam@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;9º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2505;-;8:00 as 14:00;leilam@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;10º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2483;-;8:00 as 14:00;tereza@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;11º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2476;-;8:00 as 14:00;tercia@mppa.mp.br
 PROCURADORES DE JUSTIÇA CÍVEL;12º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2487;-;8:00 as 14:00;sampaiofilho@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;13º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2523;-;8:00 as 14:00;jorge@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;14º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2489;-;8:00 as 14:00;velasco@mppa.mp.br
PROCURADORES DE JUSTIÇA CÍVEL;15º PCJ Cível;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2472;-;8:00 as 14:00;mariza@mppa.mp.br
 PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2462;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2471;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2475;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2481;-;8:00 as 14:00;-
 PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2486;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2488;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2490;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2492;-;8:00 as 14:00;-
 PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2504;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2506;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2511;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2514;-;8:00 as 14:00;-
 PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2522;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2526;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CÍVEL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2630;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;1º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2517;-;8:00 as 14:00;claudio@mppa.mp.br
 PROCURADORES DE JUSTIÇA CRIMINAL;2º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2519;-;8:00 as 14:00;luiz@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;3º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2465;-;8:00 as 14:00;gmrocha@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;4º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2495;-;8:00 as 14:00;francisco@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;5º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2509;-;8:00 as 14:00;dulcelinda@mppa.mp.br
 PROCURADORES DE JUSTIÇA CRIMINAL;6º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2470;-;8:00 as 14:00;"neves@mppa.mp.br
sergio@mppa.mp.br"
PROCURADORES DE JUSTIÇA CRIMINAL;7º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2500;-;8:00 as 14:00;adelio@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;8º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2529;-;8:00 as 14:00;almerindo@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;9º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2513;-;8:00 as 14:00;ricardos@mppa.mp.br
 PROCURADORES DE JUSTIÇA CRIMINAL;10º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2480;-;8:00 as 14:00;abucater@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;11º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2521;-;8:00 as 14:00;mrbaia@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;12º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2468;-;8:00 as 14:00;costa@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;13º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2478;-;8:00 as 14:00;gilda@mppa.mp.br
 PROCURADORES DE JUSTIÇA CRIMINAL;14º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2525;-;8:00 as 14:00;celiafilocreao@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;15º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2474;-;8:00 as 14:00;candida@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;16º PCJ Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2485;-;8:00 as 14:00;mendo@mppa.mp.br
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2409;-;8:00 as 14:00;-
 PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2464;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2467;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2469;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2473;-;8:00 as 14:00;-
 PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2477;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2479;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2484;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2494;-;8:00 as 14:00;-
 PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2503;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2508;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2512;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2516;-;8:00 as 14:00;-
 PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2518;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2520;-;8:00 as 14:00;-
PROCURADORES DE JUSTIÇA CRIMINAL;Assessoria;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2528;-;8:00 as 14:00;-
PROCURADORIA DE JUSTIÇA CÍVEL;Coordenadoria das Procuradorias de Justiça Cíveis;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2496 (91) 3198-2404;(91) 3198-2404;8:00 as 14:00;coordprocciv@mppa.mp.br
 PROCURADORIA DE JUSTIÇA CRIMINAL;Coordenadoria das Procuradorias de Justiça Criminal;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2531;(91) 3198-2675;8:00 as 14:00;coordproccrim@mppa.mp.br
PROCURADORIA GERAL DE JUSTIÇA;Assessoria de Cerimonial;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3417 (91) 4006-3416;(91) 3223-3585;8:00 as 14:00;cerimonialmp@mppa.mp.br
PROCURADORIA GERAL DE JUSTIÇA;Assessoria de Imprensa;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3586 (91) 4006-3487;-;8:00 as 14:00;imprensa@mppa.mp.br
 PROCURADORIA GERAL DE JUSTIÇA;Assessoria de Planejamento;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3445 (91) 4006-3446 (91) 4006-3639;-;8:00 as 14:00;planejamento@mppa.mp.br
PROCURADORIA GERAL DE JUSTIÇA;Assessoria Jurídica;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3427 (91) 4006-3425 (91) 4006-3512 (91) 4006-3428;-;8:00 as 14:00;assessoriajuridica@mppa.mp.br
PROCURADORIA GERAL DE JUSTIÇA;Chefia de Gabinete;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3411;-;8:00 as 14:00;"chefegab@mppa.mp.br
 pgj@mppa.mp.br"
PROCURADORIA GERAL DE JUSTIÇA;Gabinete Militar;Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3414 (91) 4006-3660 (91) 4006-3658;-;8:00 as 14:00;promotoriamilitar@mppa.mp.br
PROCURADORIA GERAL DE JUSTIÇA;Secretaria Executiva (apoio PGJ);Rua João Diogo, 100;66015-165;PRÓPRIO;(91) 4006-3419 (91)4006-3422 (91) 4006-3423 (91) 4006-3581;(91) 3223-3585;8:00 as 14:00;falecomopgj@mppa.mp.br
PROMOTORIA DE JUSTIÇA DE 1ª ENTRÂNCIA;Eldorado dos Carajás;Rua Oziel Carneiro, S/N. Bairro KM2. CEP: 68524000 (Fórum);-;FÓRUM;(94) 3347-1100;-;8:00 as 14:00;mpfaro@mppa.mp.br
 PROMOTORIA MILITAR;Analista Jurídica;Av. 16 de Novembro, 486 - Cidade Velha, CEP 66.023-220;66.023-220;PRÓPRIO;(91) 3210-3505;-;8:00 as 14:00;-
PROMOTORIA MILITAR;Coordenador;Av. 16 de Novembro, 486 - Cidade Velha, CEP 66.023-220;66.023-220;PRÓPRIO;(91) 3210-3504;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);1º PJ Criminal (COORDENADORIA);Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4840;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);1º PJ Cível;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4806 (91) 3239-4807;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);1º PJ da INFÂNCIA e Juventude;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4820;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);1º PJ de Direitos Constitucionais Fundamentas, Defesa do PATRIMÔNIO PÚBLICO e da Moralidade Administrativa;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4803 (91) 3239-4914 (91) 3239-4915;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);1º PJ Direitos Humanos, Controle Externo da Atividade Policial e do Tribunal do Júri;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4844 (91) 3239-4845;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);1º PJ do Meio Ambiente, PATRIMÔNIO Cultural e Urbanismo;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4825 (91) 3239-4826;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);2º PJ Criminal;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4808 (91) 3239-4833;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);2º PJ Cível;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4815 (91) 3239-4810;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);2º PJ da INFÂNCIA e Juventude;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4819 (91) 3239-4828;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);2º PJ de Direitos Constitucionais Fundamentas, Defesa do PATRIMÔNIO PÚBLICO e da Moralidade Administrativa;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4816 (91) 3239-4918;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);2º PJ Direitos Humanos, Controle Externo da Atividade Policial e do Tribunal do Júri;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4835 (91) 3239-4902;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);2º PJ do Meio Ambiente, PATRIMÔNIO Cultural e Urbanismo;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4809 (91) 3239-4913;-;8:00 as 14:00;mpananindeua@mppa.mp.br
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);3º PJ Criminal;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4829;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);3º PJ Cível;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4837;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);3º PJ da INFÂNCIA e Juventude;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4821;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);4º PJ Criminal(VIOLÊNCIA DOMÉSTICA);Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4843;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);4º PJ Cível;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4810;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);4º PJ da INFÂNCIA e Juventude;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4823 (91) 3239-4812;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);5º PJ Criminal;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4836 (91) 3239-4905;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);6º PJ Criminal;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-48;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Ananindeua (Geral);Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4800 (91) 3239-4803;-;8:00 as 14:00;mpananindeua@mppa.mp.br
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Apoio Coordenação e Chefia Administrativa;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4841 (91) 3239-4842;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Apoio INFÂNCIA e Juventude;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4818;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Apoio Meio Ambiente, Constitucional.;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4811;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Apoio Promotorias de Familia, Idoso, Deficiente, Consumidor e Registros Públicos;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4805;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Assistente Social;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4822 (91) 3239-4831;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Celulares de Plantão(Cível e Criminal);Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 98871-2115 (91) 98871-2126;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Copa(terreo e superior);Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4836 (91) 3239-4817;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);CPD(Informática/Serviço de Manutenção);Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4837;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Guarita/Guarda/Polícia Militar;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4802;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Protocolo/Recepção;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4803;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Psicóloga;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4824;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Sala de chefia de apoio;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4841 (91) 3239-4842;-;8:00 as 14:00;-
 PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Sala dos Motoristas;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4846;-;8:00 as 14:00;-
PROMOTORIAS DE ANANINDEUA (2ª ENTRÂNCIA);Secretaria Criminal;Rod. BR 316, S/Nº - Km 8;67.030-970;REGULARIZANDO;(91) 3239-4830;-;8:00 as 14:00;-
PROMOTORIAS DE JUSTIÇA CÍVEIS;Coordenadoria das Promotorias de Justiça Cíveis;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2426;(91) 3198-2565;8:00 as 14:00;coordciv@mppa.mp.br
PROMOTORIAS DE JUSTIÇA CÍVEIS;Recepção;Anexo I. Rua Ângelo Custódio, 35;66.023-390;REGULARIZANDO;(91) 3198-2412 (91) 3198-2431;-;8:00 as 14:00;-
 PROMOTORIAS DE JUSTIÇA CRIMINAIS;Apoio;Anexo II. Av.16 de novembro, 50;66.023-220;PRÓPRIO;(91) 3198-2550;-;8:00 as 14:00;ccrim@mppa.mp.br
PROMOTORIAS DE JUSTIÇA CRIMINAIS;Chefia de Apoio;Anexo II. Av.16 de novembro, 50;66.023-220;PRÓPRIO;(91) 3198-2550;-;8:00 as 14:00;cregis@mppa.mp.br
PROMOTORIAS DE JUSTIÇA CRIMINAIS;Coordenadoria das Promotorias de Justiça Criminais;Anexo II. Av.16 de novembro, 50;66.023-220;PRÓPRIO;(91) 3198-2400 (91)3198-2550;(91) 3222-4528;8:00 as 14:00;ccrim@mppa.mp.br
